,wl [10^-6m],omega [10^9Hz],Energy [eV],Brechungsindex Luft,Brechungsindex Gold,Brechungsindex Al2O3,Brechungsindex BK7,dielectric constant air,dielectric constant Gold
107,0.52786578,3.5684290186585943,2.349081995805828,(1+0j),(0.5078861205733967+2.2963546478926986j),(1.7720682126482523+0j),(1.5197041604055823+0j),(1+0j),(1.195770664380053+0.960198605090903j)
108,0.5284904800000001,3.5642109718019004,2.3463052730864704,(1+0j),(0.5024220622059353+2.305748708453201j),(1.7720216993727946+0j),(1.5196688293693128+0j),(1+0j),(1.1963015546449005+0.9636987846001833j)
109,0.52911523,3.56000254861092,2.3435348855862643,(1+0j),(0.4969575665038858+2.31514352089945j),(1.7719753392930055+0j),(1.5196336170273734+0j),(1+0j),(1.196837019802776+0.9671924759149568j)
110,0.52973999,3.5558039847224916,2.3407709884239623,(1+0j),(0.49149298333491775+2.32453848372285j),(1.771929134600006+0j),(1.5195985250247932+0j),(1+0j),(1.1973769718349758+0.9706794678707172j)
111,0.5303647499999999,3.5516153124973964,2.338013602902531,(1+0j),(0.48687529535467555+2.3338272970012484j),(1.7718830852423766+0j),(1.5195635533031784+0j),(1+0j),(1.1981124525211417+0.9739600369273625j)
112,0.5309895,3.5474365638281986,2.3352627500167142,(1+0j),(0.48286137612735014+2.3430402947024995j),(1.7718371911637378+0j),(1.5195287018004122+0j),(1+0j),(1.1989868945514033+0.9770917035665931j)
113,0.53161426,3.5432675701905607,2.33251831882764,(1+0j),(0.47884739265161813+2.3522534398706996j),(1.771791450110103+0j),(1.5194939687857472+0j),(1+0j),(1.199863634069029+0.9802169901148003j)
114,0.5322389500000001,3.539108829424929,2.329780637061605,(1+0j),(0.4748338589147345+2.361465552770251j),(1.7717458671367015+0j),(1.5194593580785514+0j),(1+0j),(1.2007425236028848+0.9833355221253269j)
115,0.53286371,3.534959375088338,2.327049068513223,(1+0j),(0.4708198754390032+2.370678697938449j),(1.7717004312529356+0j),(1.519424861314978+0j),(1+0j),(1.2016237256875073+0.9864480233119851j)
116,0.5334884,3.5308201027592223,2.324324202738054,(1+0j),(0.4668063417021204+2.379890810837999j),(1.771655151870358+0j),(1.5193904856220146+0j),(1+0j),(1.2025070088691996+0.9895538210109789j)
117,0.53411316,3.5266900506792482,2.3216054066145833,(1+0j),(0.46279235822638837+2.389103956006199j),(1.7716100180760421+0j),(1.5193562226961654+0j),(1+0j),(1.2033925375433059+0.9926536360627147j)
