X,CH1,
Second,Volt,
-5.9597654e+00,6.60000e-03,
-5.9590330e+00,6.80000e-03,
-5.9583006e+00,6.80000e-03,
-5.9575682e+00,6.80000e-03,
-5.9568357e+00,6.80000e-03,
-5.9561033e+00,6.80000e-03,
-5.9553709e+00,6.80000e-03,
-5.9546385e+00,6.80000e-03,
-5.9539061e+00,6.80000e-03,
-5.9531736e+00,6.80000e-03,
-5.9524412e+00,6.80000e-03,
-5.9517088e+00,6.80000e-03,
-5.9509764e+00,6.60000e-03,
-5.9502439e+00,6.80000e-03,
-5.9495115e+00,6.80000e-03,
-5.9487791e+00,6.80000e-03,
-5.9480467e+00,6.80000e-03,
-5.9473143e+00,6.80000e-03,
-5.9465818e+00,6.80000e-03,
-5.9458494e+00,6.80000e-03,
-5.9451170e+00,6.80000e-03,
-5.9443846e+00,6.80000e-03,
-5.9436522e+00,6.80000e-03,
-5.9429197e+00,6.80000e-03,
-5.9421873e+00,7.00000e-03,
-5.9414549e+00,6.80000e-03,
-5.9407225e+00,6.80000e-03,
-5.9399900e+00,6.80000e-03,
-5.9392576e+00,6.60000e-03,
-5.9385252e+00,6.80000e-03,
-5.9377928e+00,6.60000e-03,
-5.9370604e+00,6.80000e-03,
-5.9363279e+00,6.80000e-03,
-5.9355955e+00,6.60000e-03,
-5.9348631e+00,6.80000e-03,
-5.9341307e+00,6.80000e-03,
-5.9333982e+00,6.80000e-03,
-5.9326658e+00,6.80000e-03,
-5.9319334e+00,7.00000e-03,
-5.9312010e+00,6.80000e-03,
-5.9304686e+00,6.80000e-03,
-5.9297361e+00,6.80000e-03,
-5.9290037e+00,7.00000e-03,
-5.9282713e+00,6.80000e-03,
-5.9275389e+00,6.60000e-03,
-5.9268064e+00,6.80000e-03,
-5.9260740e+00,6.80000e-03,
-5.9253416e+00,7.00000e-03,
-5.9246092e+00,6.80000e-03,
-5.9238768e+00,6.80000e-03,
-5.9231443e+00,6.80000e-03,
-5.9224119e+00,6.80000e-03,
-5.9216795e+00,6.80000e-03,
-5.9209471e+00,6.80000e-03,
-5.9202147e+00,6.80000e-03,
-5.9194822e+00,6.80000e-03,
-5.9187498e+00,6.80000e-03,
-5.9180174e+00,6.80000e-03,
-5.9172850e+00,6.80000e-03,
-5.9165525e+00,6.80000e-03,
-5.9158201e+00,6.80000e-03,
-5.9150877e+00,6.80000e-03,
-5.9143553e+00,6.80000e-03,
-5.9136229e+00,6.80000e-03,
-5.9128904e+00,6.80000e-03,
-5.9121580e+00,6.80000e-03,
-5.9114256e+00,6.80000e-03,
-5.9106932e+00,6.80000e-03,
-5.9099607e+00,6.80000e-03,
-5.9092283e+00,7.00000e-03,
-5.9084959e+00,7.00000e-03,
-5.9077635e+00,6.80000e-03,
-5.9070311e+00,6.80000e-03,
-5.9062986e+00,6.80000e-03,
-5.9055662e+00,6.80000e-03,
-5.9048338e+00,6.80000e-03,
-5.9041014e+00,6.80000e-03,
-5.9033689e+00,7.00000e-03,
-5.9026365e+00,6.80000e-03,
-5.9019041e+00,6.80000e-03,
-5.9011717e+00,6.80000e-03,
-5.9004393e+00,6.80000e-03,
-5.8997068e+00,6.80000e-03,
-5.8989744e+00,6.80000e-03,
-5.8982420e+00,6.80000e-03,
-5.8975096e+00,7.00000e-03,
-5.8967772e+00,7.00000e-03,
-5.8960447e+00,7.00000e-03,
-5.8953123e+00,6.80000e-03,
-5.8945799e+00,6.80000e-03,
-5.8938475e+00,6.80000e-03,
-5.8931150e+00,6.80000e-03,
-5.8923826e+00,6.80000e-03,
-5.8916502e+00,6.80000e-03,
-5.8909178e+00,7.00000e-03,
-5.8901854e+00,6.80000e-03,
-5.8894529e+00,6.80000e-03,
-5.8887205e+00,6.80000e-03,
-5.8879881e+00,7.00000e-03,
-5.8872557e+00,7.00000e-03,
-5.8865232e+00,6.80000e-03,
-5.8857908e+00,7.00000e-03,
-5.8850584e+00,6.80000e-03,
-5.8843260e+00,6.80000e-03,
-5.8835936e+00,6.80000e-03,
-5.8828611e+00,7.00000e-03,
-5.8821287e+00,7.00000e-03,
-5.8813963e+00,7.00000e-03,
-5.8806639e+00,6.80000e-03,
-5.8799314e+00,6.80000e-03,
-5.8791990e+00,7.00000e-03,
-5.8784666e+00,7.00000e-03,
-5.8777342e+00,7.00000e-03,
-5.8770018e+00,6.80000e-03,
-5.8762693e+00,7.00000e-03,
-5.8755369e+00,7.00000e-03,
-5.8748045e+00,7.00000e-03,
-5.8740721e+00,7.00000e-03,
-5.8733397e+00,7.00000e-03,
-5.8726072e+00,7.00000e-03,
-5.8718748e+00,7.00000e-03,
-5.8711424e+00,7.00000e-03,
-5.8704100e+00,7.00000e-03,
-5.8696775e+00,7.00000e-03,
-5.8689451e+00,7.00000e-03,
-5.8682127e+00,7.00000e-03,
-5.8674803e+00,7.00000e-03,
-5.8667479e+00,7.00000e-03,
-5.8660154e+00,6.80000e-03,
-5.8652830e+00,7.00000e-03,
-5.8645506e+00,6.80000e-03,
-5.8638182e+00,7.00000e-03,
-5.8630857e+00,6.80000e-03,
-5.8623533e+00,7.00000e-03,
-5.8616209e+00,7.00000e-03,
-5.8608885e+00,7.00000e-03,
-5.8601561e+00,6.80000e-03,
-5.8594236e+00,6.80000e-03,
-5.8586912e+00,6.80000e-03,
-5.8579588e+00,7.00000e-03,
-5.8572264e+00,7.00000e-03,
-5.8564939e+00,7.00000e-03,
-5.8557615e+00,7.00000e-03,
-5.8550291e+00,7.00000e-03,
-5.8542967e+00,6.80000e-03,
-5.8535643e+00,7.00000e-03,
-5.8528318e+00,7.00000e-03,
-5.8520994e+00,7.00000e-03,
-5.8513670e+00,6.80000e-03,
-5.8506346e+00,7.00000e-03,
-5.8499022e+00,6.80000e-03,
-5.8491697e+00,7.00000e-03,
-5.8484373e+00,7.00000e-03,
-5.8477049e+00,7.00000e-03,
-5.8469725e+00,7.00000e-03,
-5.8462400e+00,7.00000e-03,
-5.8455076e+00,6.80000e-03,
-5.8447752e+00,7.00000e-03,
-5.8440428e+00,7.00000e-03,
-5.8433104e+00,7.00000e-03,
-5.8425779e+00,6.80000e-03,
-5.8418455e+00,7.00000e-03,
-5.8411131e+00,7.00000e-03,
-5.8403807e+00,7.00000e-03,
-5.8396482e+00,6.80000e-03,
-5.8389158e+00,7.00000e-03,
-5.8381834e+00,7.00000e-03,
-5.8374510e+00,7.00000e-03,
-5.8367186e+00,7.00000e-03,
-5.8359861e+00,7.00000e-03,
-5.8352537e+00,7.00000e-03,
-5.8345213e+00,7.00000e-03,
-5.8337889e+00,7.00000e-03,
-5.8330564e+00,7.00000e-03,
-5.8323240e+00,7.00000e-03,
-5.8315916e+00,7.00000e-03,
-5.8308592e+00,7.00000e-03,
-5.8301268e+00,7.00000e-03,
-5.8293943e+00,7.00000e-03,
-5.8286619e+00,7.00000e-03,
-5.8279295e+00,7.00000e-03,
-5.8271971e+00,7.00000e-03,
-5.8264647e+00,6.80000e-03,
-5.8257322e+00,7.00000e-03,
-5.8249998e+00,6.80000e-03,
-5.8242674e+00,7.00000e-03,
-5.8235350e+00,6.80000e-03,
-5.8228025e+00,6.80000e-03,
-5.8220701e+00,7.00000e-03,
-5.8213377e+00,7.00000e-03,
-5.8206053e+00,7.00000e-03,
-5.8198729e+00,7.00000e-03,
-5.8191404e+00,7.00000e-03,
-5.8184080e+00,7.20000e-03,
-5.8176756e+00,7.00000e-03,
-5.8169432e+00,7.00000e-03,
-5.8162107e+00,7.00000e-03,
-5.8154783e+00,7.00000e-03,
-5.8147459e+00,7.00000e-03,
-5.8140135e+00,7.00000e-03,
-5.8132811e+00,6.80000e-03,
-5.8125486e+00,7.00000e-03,
-5.8118162e+00,7.00000e-03,
-5.8110838e+00,7.00000e-03,
-5.8103514e+00,7.00000e-03,
-5.8096189e+00,7.00000e-03,
-5.8088865e+00,7.00000e-03,
-5.8081541e+00,7.00000e-03,
-5.8074217e+00,7.00000e-03,
-5.8066893e+00,7.00000e-03,
-5.8059568e+00,7.00000e-03,
-5.8052244e+00,7.00000e-03,
-5.8044920e+00,7.00000e-03,
-5.8037596e+00,7.00000e-03,
-5.8030272e+00,7.00000e-03,
-5.8022947e+00,7.00000e-03,
-5.8015623e+00,6.80000e-03,
-5.8008299e+00,7.00000e-03,
-5.8000975e+00,7.20000e-03,
-5.7993650e+00,7.20000e-03,
-5.7986326e+00,7.00000e-03,
-5.7979002e+00,7.20000e-03,
-5.7971678e+00,7.00000e-03,
-5.7964354e+00,7.20000e-03,
-5.7957029e+00,7.00000e-03,
-5.7949705e+00,7.20000e-03,
-5.7942381e+00,7.00000e-03,
-5.7935057e+00,7.00000e-03,
-5.7927732e+00,7.20000e-03,
-5.7920408e+00,7.00000e-03,
-5.7913084e+00,7.00000e-03,
-5.7905760e+00,7.00000e-03,
-5.7898436e+00,7.00000e-03,
-5.7891111e+00,7.20000e-03,
-5.7883787e+00,7.00000e-03,
-5.7876463e+00,7.20000e-03,
-5.7869139e+00,7.00000e-03,
-5.7861814e+00,7.20000e-03,
-5.7854490e+00,7.00000e-03,
-5.7847166e+00,7.20000e-03,
-5.7839842e+00,7.20000e-03,
-5.7832518e+00,7.20000e-03,
-5.7825193e+00,7.00000e-03,
-5.7817869e+00,7.00000e-03,
-5.7810545e+00,7.00000e-03,
-5.7803221e+00,7.00000e-03,
-5.7795897e+00,7.20000e-03,
-5.7788572e+00,7.00000e-03,
-5.7781248e+00,7.00000e-03,
-5.7773924e+00,7.20000e-03,
-5.7766600e+00,7.00000e-03,
-5.7759275e+00,7.20000e-03,
-5.7751951e+00,7.20000e-03,
-5.7744627e+00,7.00000e-03,
-5.7737303e+00,7.40000e-03,
-5.7729979e+00,7.40000e-03,
-5.7722654e+00,7.00000e-03,
-5.7715330e+00,7.40000e-03,
-5.7708006e+00,7.00000e-03,
-5.7700682e+00,7.40000e-03,
-5.7693357e+00,7.00000e-03,
-5.7686033e+00,7.40000e-03,
-5.7678709e+00,7.20000e-03,
-5.7671385e+00,7.20000e-03,
-5.7664061e+00,7.00000e-03,
-5.7656736e+00,7.00000e-03,
-5.7649412e+00,7.40000e-03,
-5.7642088e+00,7.40000e-03,
-5.7634764e+00,7.00000e-03,
-5.7627439e+00,7.20000e-03,
-5.7620115e+00,7.00000e-03,
-5.7612791e+00,7.20000e-03,
-5.7605467e+00,7.20000e-03,
-5.7598143e+00,7.00000e-03,
-5.7590818e+00,7.00000e-03,
-5.7583494e+00,7.40000e-03,
-5.7576170e+00,7.20000e-03,
-5.7568846e+00,7.20000e-03,
-5.7561522e+00,7.00000e-03,
-5.7554197e+00,7.40000e-03,
-5.7546873e+00,7.20000e-03,
-5.7539549e+00,7.40000e-03,
-5.7532225e+00,7.40000e-03,
-5.7524900e+00,7.20000e-03,
-5.7517576e+00,7.40000e-03,
-5.7510252e+00,7.40000e-03,
-5.7502928e+00,7.40000e-03,
-5.7495604e+00,7.40000e-03,
-5.7488279e+00,7.20000e-03,
-5.7480955e+00,7.20000e-03,
-5.7473631e+00,7.00000e-03,
-5.7466307e+00,7.20000e-03,
-5.7458982e+00,7.20000e-03,
-5.7451658e+00,7.00000e-03,
-5.7444334e+00,7.20000e-03,
-5.7437010e+00,7.20000e-03,
-5.7429686e+00,7.40000e-03,
-5.7422361e+00,7.20000e-03,
-5.7415037e+00,7.40000e-03,
-5.7407713e+00,7.40000e-03,
-5.7400389e+00,7.40000e-03,
-5.7393064e+00,7.40000e-03,
-5.7385740e+00,7.40000e-03,
-5.7378416e+00,7.40000e-03,
-5.7371092e+00,7.40000e-03,
-5.7363768e+00,7.40000e-03,
-5.7356443e+00,7.00000e-03,
-5.7349119e+00,7.40000e-03,
-5.7341795e+00,7.20000e-03,
-5.7334471e+00,7.40000e-03,
-5.7327147e+00,7.00000e-03,
-5.7319822e+00,7.20000e-03,
-5.7312498e+00,7.00000e-03,
-5.7305174e+00,7.40000e-03,
-5.7297850e+00,7.40000e-03,
-5.7290525e+00,7.40000e-03,
-5.7283201e+00,7.40000e-03,
-5.7275877e+00,7.40000e-03,
-5.7268553e+00,7.20000e-03,
-5.7261229e+00,7.20000e-03,
-5.7253904e+00,7.20000e-03,
-5.7246580e+00,7.40000e-03,
-5.7239256e+00,7.00000e-03,
-5.7231932e+00,7.20000e-03,
-5.7224607e+00,7.20000e-03,
-5.7217283e+00,7.40000e-03,
-5.7209959e+00,7.40000e-03,
-5.7202635e+00,7.40000e-03,
-5.7195311e+00,7.40000e-03,
-5.7187986e+00,7.40000e-03,
-5.7180662e+00,7.20000e-03,
-5.7173338e+00,7.40000e-03,
-5.7166014e+00,7.00000e-03,
-5.7158689e+00,7.40000e-03,
-5.7151365e+00,7.40000e-03,
-5.7144041e+00,7.40000e-03,
-5.7136717e+00,7.20000e-03,
-5.7129393e+00,7.40000e-03,
-5.7122068e+00,7.40000e-03,
-5.7114744e+00,7.40000e-03,
-5.7107420e+00,7.40000e-03,
-5.7100096e+00,7.40000e-03,
-5.7092772e+00,7.40000e-03,
-5.7085447e+00,7.40000e-03,
-5.7078123e+00,7.40000e-03,
-5.7070799e+00,7.40000e-03,
-5.7063475e+00,7.40000e-03,
-5.7056150e+00,7.40000e-03,
-5.7048826e+00,7.40000e-03,
-5.7041502e+00,7.40000e-03,
-5.7034178e+00,7.40000e-03,
-5.7026854e+00,7.40000e-03,
-5.7019529e+00,7.20000e-03,
-5.7012205e+00,7.40000e-03,
-5.7004881e+00,7.40000e-03,
-5.6997557e+00,7.40000e-03,
-5.6990232e+00,7.20000e-03,
-5.6982908e+00,7.40000e-03,
-5.6975584e+00,7.40000e-03,
-5.6968260e+00,7.40000e-03,
-5.6960936e+00,7.40000e-03,
-5.6953611e+00,7.40000e-03,
-5.6946287e+00,7.40000e-03,
-5.6938963e+00,7.40000e-03,
-5.6931639e+00,7.40000e-03,
-5.6924314e+00,7.40000e-03,
-5.6916990e+00,7.40000e-03,
-5.6909666e+00,7.40000e-03,
-5.6902342e+00,7.40000e-03,
-5.6895018e+00,7.60000e-03,
-5.6887693e+00,7.40000e-03,
-5.6880369e+00,7.40000e-03,
-5.6873045e+00,7.40000e-03,
-5.6865721e+00,7.40000e-03,
-5.6858397e+00,7.40000e-03,
-5.6851072e+00,7.40000e-03,
-5.6843748e+00,7.40000e-03,
-5.6836424e+00,7.40000e-03,
-5.6829100e+00,7.40000e-03,
-5.6821775e+00,7.40000e-03,
-5.6814451e+00,7.40000e-03,
-5.6807127e+00,7.00000e-03,
-5.6799803e+00,7.40000e-03,
-5.6792479e+00,7.40000e-03,
-5.6785154e+00,7.40000e-03,
-5.6777830e+00,7.40000e-03,
-5.6770506e+00,7.40000e-03,
-5.6763182e+00,7.40000e-03,
-5.6755857e+00,7.40000e-03,
-5.6748533e+00,7.60000e-03,
-5.6741209e+00,7.40000e-03,
-5.6733885e+00,7.40000e-03,
-5.6726561e+00,7.40000e-03,
-5.6719236e+00,7.40000e-03,
-5.6711912e+00,7.40000e-03,
-5.6704588e+00,7.60000e-03,
-5.6697264e+00,7.40000e-03,
-5.6689939e+00,7.60000e-03,
-5.6682615e+00,7.60000e-03,
-5.6675291e+00,7.60000e-03,
-5.6667967e+00,7.40000e-03,
-5.6660643e+00,7.40000e-03,
-5.6653318e+00,7.40000e-03,
-5.6645994e+00,7.40000e-03,
-5.6638670e+00,7.40000e-03,
