,pe-1-4-0,pe-1-2-2,pe-1-1-3,pe-1-3-1,pe-1-0-4,Time,AF
454,7,51,44,21,54,11.094819159335287,5
455,6,55,48,20,46,11.119257086999022,11
456,11,44,51,20,46,11.143695014662756,9
457,6,49,62,21,62,11.16813294232649,12
458,7,47,38,17,43,11.192570869990224,10
459,7,46,51,15,50,11.217008797653959,7
460,11,31,50,20,42,11.241446725317692,12
461,12,48,48,15,54,11.265884652981427,8
462,9,53,62,26,44,11.29032258064516,9
463,8,44,47,14,59,11.314760508308895,7
464,10,43,47,25,59,11.339198435972628,8
465,13,47,42,23,49,11.363636363636363,9
466,12,48,40,9,51,11.388074291300097,8
467,8,48,48,20,62,11.412512218963832,7
468,3,45,43,19,53,11.436950146627565,6
469,7,37,53,16,57,11.4613880742913,6
470,10,46,41,18,46,11.485826001955035,8
471,13,44,51,18,64,11.510263929618768,7
472,11,45,40,20,47,11.534701857282503,11
473,9,47,47,27,59,11.559139784946236,14
474,5,46,44,21,44,11.583577712609971,9
475,13,38,52,23,51,11.608015640273704,8
476,9,49,55,20,50,11.63245356793744,9
477,4,35,42,18,58,11.656891495601172,6
478,6,56,33,11,58,11.681329423264907,9
479,7,44,46,21,56,11.70576735092864,10
480,9,36,46,11,55,11.730205278592376,7
481,11,46,45,35,47,11.754643206256109,10
482,10,56,48,18,43,11.779081133919844,7
483,11,41,49,22,52,11.803519061583577,9
484,12,40,34,22,54,11.827956989247312,14
485,7,40,38,23,57,11.852394916911045,7
486,7,43,49,15,42,11.87683284457478,9
487,9,46,38,16,62,11.901270772238513,2
488,4,42,39,17,64,11.925708699902248,12
489,5,42,39,14,46,11.950146627565982,7
490,10,32,32,17,50,11.974584555229717,9
491,10,45,45,17,64,11.99902248289345,6
492,7,42,47,20,45,12.023460410557185,19
493,9,37,38,23,38,12.047898338220918,4
494,19,35,30,12,44,12.072336265884653,12
495,7,51,42,15,71,12.096774193548386,7
496,5,40,30,12,52,12.121212121212121,8
497,12,41,33,23,46,12.145650048875854,7
498,5,39,54,13,56,12.17008797653959,6
499,8,33,39,18,43,12.194525904203322,6
500,8,39,42,22,50,12.218963831867057,6
501,10,42,37,20,45,12.24340175953079,6
502,9,42,46,11,65,12.267839687194526,7
503,15,44,42,16,48,12.292277614858259,6
504,12,41,27,12,49,12.316715542521994,10
505,12,44,43,19,54,12.341153470185727,8
506,10,44,56,17,42,12.365591397849462,6
507,8,52,39,21,43,12.390029325513195,12
508,8,34,29,12,58,12.41446725317693,8
509,11,39,40,13,47,12.438905180840663,7
510,4,30,40,20,49,12.463343108504398,4
511,5,30,49,14,47,12.487781036168132,7
512,12,38,37,19,49,12.512218963831867,6
