,pe-1-0-4_0Grad,1-4-0_mit triton,Time,AF
587,36,24,14.345063538611925,8
588,30,25,14.36950146627566,6
589,40,24,14.393939393939393,8
590,40,31,14.418377321603128,6
591,32,27,14.442815249266861,9
592,34,25,14.467253176930596,5
593,36,19,14.491691104594329,4
594,37,29,14.516129032258064,3
595,35,26,14.540566959921797,7
596,40,28,14.565004887585532,7
597,39,25,14.589442815249265,6
598,34,26,14.613880742913,11
599,30,22,14.638318670576735,8
600,30,39,14.662756598240469,6
601,39,31,14.687194525904204,15
602,33,23,14.711632453567937,8
603,38,27,14.736070381231672,11
604,29,29,14.760508308895405,4
605,30,29,14.78494623655914,6
606,43,20,14.809384164222873,7
607,43,35,14.833822091886608,10
608,30,30,14.858260019550341,14
609,39,23,14.882697947214076,15
610,30,26,14.90713587487781,9
611,41,24,14.931573802541545,6
612,35,24,14.956011730205278,10
613,33,27,14.980449657869013,6
614,35,24,15.004887585532746,8
615,40,28,15.029325513196481,4
616,30,34,15.053763440860214,10
617,35,16,15.078201368523949,12
618,30,26,15.102639296187682,7
619,19,26,15.127077223851417,3
620,29,28,15.15151515151515,4
621,38,30,15.175953079178885,8
622,30,17,15.200391006842619,9
623,29,35,15.224828934506354,8
624,31,23,15.249266862170087,9
625,20,31,15.273704789833822,10
626,42,31,15.298142717497555,7
627,24,22,15.32258064516129,14
628,38,24,15.347018572825023,6
629,36,22,15.371456500488758,7
630,22,24,15.395894428152491,12
631,32,32,15.420332355816226,6
632,25,28,15.44477028347996,7
633,50,20,15.469208211143695,4
634,29,28,15.493646138807428,4
635,24,23,15.518084066471163,4
636,28,27,15.542521994134896,5
637,40,23,15.566959921798631,11
638,35,17,15.591397849462364,7
639,27,30,15.6158357771261,16
640,27,19,15.640273704789834,5
641,24,30,15.664711632453567,6
642,30,26,15.689149560117302,7
643,20,24,15.713587487781036,7
644,30,16,15.73802541544477,14
645,39,31,15.762463343108504,11
646,29,22,15.786901270772239,9
647,26,20,15.811339198435972,12
648,26,31,15.835777126099707,10
649,28,26,15.86021505376344,9
650,23,23,15.884652981427175,11
651,30,28,15.909090909090908,12
652,30,24,15.933528836754643,7
653,33,24,15.957966764418376,10
654,21,26,15.982404692082111,10
655,32,27,16.006842619745846,10
656,24,18,16.03128054740958,6
657,31,37,16.055718475073313,13
658,33,25,16.080156402737046,10
659,26,27,16.104594330400783,9
660,28,18,16.129032258064516,13
661,26,21,16.15347018572825,9
662,26,21,16.177908113391982,14
663,30,27,16.20234604105572,6
664,33,19,16.226783968719452,6
665,23,27,16.251221896383186,14
666,35,30,16.27565982404692,9
667,31,26,16.300097751710656,7
668,31,21,16.32453567937439,4
669,25,20,16.348973607038122,8
670,23,23,16.373411534701855,4
671,27,24,16.397849462365592,7
672,27,19,16.422287390029325,7
673,30,24,16.44672531769306,7
674,26,29,16.47116324535679,5
675,19,25,16.49560117302053,6
676,27,21,16.52003910068426,8
677,33,18,16.544477028347995,10
678,26,17,16.568914956011728,12
679,30,27,16.593352883675465,8
680,27,25,16.617790811339198,10
681,17,20,16.64222873900293,9
682,34,23,16.666666666666664,10
683,28,25,16.6911045943304,14
684,17,25,16.715542521994134,4
685,24,17,16.739980449657867,5
686,25,16,16.764418377321604,13
687,35,17,16.788856304985337,11
688,26,30,16.81329423264907,11
689,26,23,16.837732160312804,5
690,29,19,16.86217008797654,5
691,32,20,16.886608015640274,7
692,29,21,16.911045943304007,14
693,22,16,16.93548387096774,14
694,36,16,16.959921798631477,8
695,22,24,16.98435972629521,13
696,29,20,17.008797653958943,8
697,29,21,17.033235581622677,0
698,24,11,17.057673509286413,7
699,23,16,17.082111436950147,7
700,26,21,17.10654936461388,8
701,16,11,17.130987292277613,11
702,24,21,17.15542521994135,7
703,22,20,17.179863147605083,8
704,20,23,17.204301075268816,5
705,17,26,17.22873900293255,4
706,25,21,17.253176930596286,6
707,25,18,17.27761485826002,6
708,23,30,17.302052785923753,6
709,24,24,17.326490713587486,7
710,26,15,17.350928641251222,5
711,24,14,17.375366568914956,7
712,29,19,17.39980449657869,10
713,20,19,17.424242424242422,14
714,22,22,17.44868035190616,11
715,38,15,17.473118279569892,7
716,31,21,17.497556207233625,3
717,28,20,17.52199413489736,7
718,36,19,17.546432062561095,11
719,20,19,17.57086999022483,9
720,23,15,17.59530791788856,9
721,22,25,17.619745845552295,8
722,17,18,17.64418377321603,6
723,31,18,17.668621700879765,3
724,18,18,17.693059628543498,3
725,15,18,17.71749755620723,3
726,26,11,17.741935483870968,15
727,32,18,17.7663734115347,4
728,23,22,17.790811339198434,8
729,19,18,17.81524926686217,7
730,18,19,17.839687194525904,7
731,25,20,17.864125122189638,7
732,23,19,17.88856304985337,8
733,19,17,17.913000977517108,2
734,27,15,17.93743890518084,4
735,23,36,17.961876832844574,13
736,21,23,17.986314760508307,5
737,20,25,18.010752688172044,6
738,16,19,18.035190615835777,11
739,18,20,18.05962854349951,8
740,21,21,18.084066471163244,5
741,20,20,18.10850439882698,11
742,26,18,18.132942326490713,12
743,21,24,18.157380254154447,5
744,21,16,18.18181818181818,8
745,19,25,18.206256109481917,9
746,24,28,18.23069403714565,10
747,21,21,18.255131964809383,11
748,24,16,18.279569892473116,8
749,30,22,18.304007820136853,11
750,25,15,18.328445747800586,4
751,24,17,18.35288367546432,11
752,22,19,18.377321603128053,4
753,18,18,18.40175953079179,5
754,19,29,18.426197458455523,8
755,17,19,18.450635386119256,9
756,19,18,18.47507331378299,10
757,22,24,18.499511241446726,10
758,23,15,18.52394916911046,10
759,10,25,18.548387096774192,11
760,20,17,18.572825024437925,9
761,21,21,18.597262952101662,5
762,32,19,18.621700879765395,7
763,21,15,18.64613880742913,10
764,16,19,18.67057673509286,5
765,28,28,18.6950146627566,9
766,31,26,18.71945259042033,8
767,24,16,18.743890518084065,5
768,17,19,18.768328445747798,6
769,17,18,18.792766373411535,14
770,17,21,18.817204301075268,7
771,23,20,18.841642228739,7
772,21,27,18.866080156402738,5
773,23,18,18.89051808406647,8
774,21,21,18.914956011730204,11
775,25,15,18.939393939393938,6
776,24,20,18.963831867057674,7
777,17,17,18.988269794721408,4
778,17,24,19.01270772238514,5
779,28,19,19.037145650048874,10
780,21,26,19.06158357771261,7
781,25,19,19.086021505376344,8
782,19,17,19.110459433040077,4
783,19,15,19.13489736070381,4
784,18,12,19.159335288367547,7
785,25,15,19.18377321603128,7
786,26,19,19.208211143695014,14
787,21,19,19.232649071358747,8
788,25,23,19.257086999022484,9
789,21,19,19.281524926686217,8
790,15,13,19.30596285434995,12
791,25,16,19.330400782013683,8
792,23,26,19.35483870967742,6
793,19,21,19.379276637341153,6
794,24,20,19.403714565004886,11
795,16,12,19.42815249266862,4
796,16,19,19.452590420332356,8
797,17,21,19.47702834799609,8
798,22,21,19.501466275659823,10
799,24,19,19.525904203323556,3
800,26,15,19.550342130987293,6
801,20,15,19.574780058651026,13
802,23,19,19.59921798631476,7
803,17,18,19.623655913978492,8
804,24,16,19.64809384164223,9
805,24,15,19.672531769305962,7
806,13,11,19.696969696969695,9
807,24,13,19.72140762463343,8
808,22,18,19.745845552297165,10
809,20,17,19.7702834799609,7
810,20,12,19.794721407624632,5
811,19,13,19.81915933528837,8
812,14,18,19.843597262952102,5
813,23,18,19.868035190615835,7
814,15,10,19.892473118279568,8
815,17,14,19.916911045943305,7
816,13,11,19.941348973607038,7
817,24,24,19.96578690127077,7
818,19,20,19.990224828934505,8
819,18,18,20.01466275659824,7
820,15,14,20.039100684261975,10
821,16,14,20.063538611925708,5
822,15,22,20.08797653958944,7
823,20,17,20.112414467253178,6
824,18,17,20.13685239491691,14
825,21,21,20.161290322580644,10
826,19,13,20.185728250244377,10
827,13,12,20.210166177908114,10
828,12,25,20.234604105571847,11
829,17,18,20.25904203323558,10
830,15,18,20.283479960899314,3
831,13,16,20.30791788856305,8
832,21,17,20.332355816226784,4
833,24,14,20.356793743890517,7
834,22,18,20.38123167155425,5
835,15,21,20.405669599217987,12
836,18,11,20.43010752688172,6
837,17,20,20.454545454545453,12
838,15,11,20.478983382209186,7
839,12,17,20.503421309872923,6
840,12,19,20.527859237536656,9
841,17,17,20.55229716520039,8
842,13,16,20.576735092864123,8
843,19,13,20.60117302052786,6
844,14,14,20.625610948191593,8
845,14,19,20.650048875855326,8
846,13,16,20.67448680351906,6
847,23,10,20.698924731182796,7
848,23,12,20.72336265884653,8
849,17,14,20.747800586510262,7
850,15,7,20.772238514173996,7
851,13,15,20.796676441837732,8
852,21,13,20.821114369501466,7
853,18,11,20.8455522971652,7
854,19,10,20.869990224828936,8
855,18,22,20.89442815249267,12
856,15,18,20.918866080156402,5
